縣市,鄉鎮市區,路名,土地面積,使用分區,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,橫坐標,縱坐標,備註,主建物面積,陽台面積,附屬建物面積,單價
高雄市,三民區,市中一路,0.3547699211617421,,5,5,其他,鋼筋混凝土造,公寓(5樓含以下無電梯),42.66666666666666,-1.0060850824522998,-0.8193256863726953,0.0,176668,2504317,,-0.6114697488779446,-1.6420771089734696,0.6376610315516564,0.6973847884793465
桃園市,桃園區,同安街,-0.4050992085267808,,3,9,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),19.25,-0.3195119000876193,0.4226960600013094,1.0,280593,2767496,,-0.4445638787832794,-0.111495719596266,0.0569016701442973,1.348535956051585
新北市,三重區,仁愛街,0.5837857334400087,,3,4,其他,鋼筋混凝土造,公寓(5樓含以下無電梯),40.5,-0.5418581942927503,-0.8193256863726953,0.0,299635,2774869,,-0.1806262909895126,1.1767862748070657,-0.4384519028208025,1.6296084024856448
台北市,大安區,光復南路,-0.12960248734452,,6,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),41.25,0.132649685285605,-0.8193256863726953,0.0,306167,2769827,,0.4343794066135409,1.7501144206607335,-0.4384519028208025,3.8313425662191127
新北市,樹林區,東榮街,-0.6384170284026762,,5,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),28.666666666666668,-0.6872163659565695,-0.8193256863726953,0.0,291938,2763890,,-0.710764597019008,-0.9356549292609142,-0.1523425115392358,1.5827629947466348
台中市,西屯區,工業區一路,-0.1534918479704614,,5,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),29.0,0.0096985045106746,-0.1380674896675508,1.0,210676,2674260,花台2.65㎡,0.2694537756555923,-0.0108220273183897,0.1273614456091611,1.2314224367040598
高雄市,前金區,民生二路,-0.2433052691567222,,3,12,其他,鋼筋混凝土造,住宅大樓(11層含以上有電梯),35.25,0.4446239430462925,-0.8193256863726953,0.0,177304,2502806,,0.8358021687564725,0.6358784705344085,-0.4384519028208025,0.9878263164612082
台北市,大安區,和平東路二段,-1.0099758968906596,,10,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),32.166666666666664,-0.406841710731495,-0.8193256863726953,0.0,304609,2768686,,-0.0635092906180019,-0.5722058368001067,-0.4384519028208025,3.8313425662191127
桃園市,中壢區,公園路二段,1.176621607242925,,4,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.666666666666667,0.9398758955135345,2.183771670531615,2.0,270742,2766664,,0.5495161678483351,-0.1370907261075905,2.4418583123943702,1.5359175870076247
新北市,五股區,登林路,-0.4372801480420079,,8,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.25,-0.6062064758198165,0.6652301572410093,1.0,293208,2773561,,-0.9062424889434376,-0.765021552518751,0.3366056272926947,1.98094896052822
桃園市,中壢區,永福路,0.1114781730567064,,7,8,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),27.416666666666668,0.1975725050405916,0.2342300736112242,1.0,275598,2761637,,0.7302837119000146,0.1939380247722059,-0.0882881702075419,0.9737726941395052
台北市,松山區,八德路三段,0.1021291174395121,,5,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.91666666666666,-0.8664722930676826,-0.8193256863726953,0.0,306100,2771335,,-0.5249050094729149,0.0625503246807403,-0.4384519028208025,3.362888488829013
桃園市,蘆竹區,南祥路,0.1673321711398935,,5,15,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),25.83333333333333,0.2780078569494243,0.7007606300850419,1.0,280453,2771124,,0.7724345163815489,-1.6420771089734696,-0.4384519028208025,1.2314224367040598
新北市,林口區,信義路,-0.5059440346700912,,8,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),9.333333333333334,0.0694504802143789,-0.2060388290213521,1.0,287773,2774928,,-0.2654936825630711,-0.0057030260161249,0.6782287810617295,1.7232992179636646
台中市,北屯區,敦富一街,-0.4383616583319148,,6,12,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),2.1666666666666665,-0.6590639927884783,0.29756700346363,1.0,220153,2675479,,-0.8986044237018174,-1.0226779513994173,0.1401723138754998,1.8638354411806943
台中市,豐原區,三民路,-0.7814407558523522,,9,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),18.08333333333333,-0.0753331532215196,0.5555491323746484,1.0,221760,2683277,,-0.1984484432199601,-0.0347107000622927,-0.4384519028208025,1.09088621348703
台中市,南區,忠明南路,0.2564966861522104,,18,24,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),4.75,1.0461654676787775,1.255344967085375,2.0,216037,2668146,,0.7727174076867939,0.3782220716537421,-0.4384519028208025,1.6530311063551495
新北市,新莊區,福壽街,-0.4344682212882501,,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.5,-0.8480870697742351,-0.8193256863726953,0.0,296202,2771588,,-0.4892607050120205,0.0301299830997294,-0.4384519028208025,1.6296084024856448
新北市,新莊區,中央路,0.4196124714321548,,2,28,店鋪,鋼骨造,住宅大樓(11層含以上有電梯),9.666666666666666,2.073439819200157,2.183771670531615,2.0,295958,2772467,,1.953505715780237,-1.6420771089734696,2.187776091778652,2.2151759992232694
台中市,西屯區,福中五街,-0.5939789722685055,,4,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),29.08333333333333,-0.0351154772671035,-0.8193256863726953,1.0,210950,2675067,,-0.1710079866111763,0.8457575239272692,-0.2847214836247367,1.114308917356535
新北市,三重區,五華街,-0.0487055176594907,住,2,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.75,-0.6159736256944605,-0.8193256863726953,0.0,299677,2775033,,0.1656326666306058,-1.6420771089734696,-0.4384519028208025,1.9575262566587144
新北市,新店區,安民街,-0.8627943632153419,,8,16,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),26.25,-0.5757559497400438,-0.8193256863726953,0.0,302120,2762408,,-0.629291901108392,-0.3213747729891267,0.2981730224936782,1.7232992179636646
高雄市,新興區,中正二路,-0.9891868657624509,,11,29,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.9166666666666665,1.3018349791032822,-0.3342574918932954,1.0,179689,2503537,,0.8550387775131459,1.0471049084830215,-0.4384519028208025,1.4375422307557038
新北市,三重區,元富二街,-0.075022268047223,,16,21,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),0.0833333333333333,0.0849630123682255,0.903129844979314,1.0,300193,2774539,,-0.1562976387384258,-0.7155378732635237,0.5479849536872851,2.472825741787824
台北市,大安區,復興南路二段,0.4009864608837601,,6,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),38.91666666666666,0.396937270128913,-0.8193256863726953,0.0,304979,2769150,,1.019115734555359,1.2057939488532337,-0.4384519028208025,4.393487459087233
新北市,新店區,文化路,0.0365174931851658,,4,4,住家用,加強磚造,公寓(5樓含以下無電梯),49.91666666666666,-0.996892470805576,-0.8193256863726953,0.0,305040,2763950,,-0.8742757714507307,0.8901222018802316,-0.4384519028208025,2.1449078876147545
台中市,西屯區,文心路三段,-1.2203656986205305,,7,28,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),1.3333333333333333,-0.3953509461730906,-0.8193256863726953,0.0,215546,2674066,,-0.7150079665976861,-0.3401444444307647,-0.3018026413131887,2.425980334048814
台中市,太平區,立文街,-0.3396798527684178,,14,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.8333333333333335,0.3779775086075454,0.631244487564109,1.0,221030,2672767,,0.1384751013270672,0.0045349765884048,0.1764697739634595,1.27826784444307
台北市,信義區,松山路,0.0203429059605595,,3,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),50.25,-0.8319999993924686,-0.8193256863726953,0.0,308422,2770252,,-0.328861334937995,-0.7820848901929673,-0.4384519028208025,3.222352265611983
台中市,南區,崇倫北街,0.3656811583088022,,4,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),28.75,-0.8716431371189649,-0.8193256863726953,0.0,215050,2669488,,-0.4403205092046017,-0.8435129058201462,-0.4384519028208025,1.0674635096175251
台北市,萬華區,成都路,-1.334356883176708,,7,22,住家用,鋼骨造,住宅大樓(11層含以上有電梯),5.5,-0.9940197796659748,-0.8193256863726953,0.0,300657,2770667,,-1.22166629429183,-1.2615646788384458,0.035550223033733,2.707052780482874
台中市,潭子區,中山路二段,-0.4489123920490055,,8,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),1.8333333333333333,-0.5625415704978787,0.4582265328453418,1.0,219937,2677471,,-0.7517838362795612,-0.9339485954934924,-0.4384519028208025,1.7935673295721797
新北市,土城區,裕民路,-0.2961550719901684,,4,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),28.916666666666668,0.2389392574508483,-0.8193256863726953,0.0,295358,2764506,,0.22956610161602,1.2433332917365094,-0.4384519028208025,2.051217072136734
台北市,文山區,興隆路三段,1.1839037765282974,,9,12,商業用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),26.416666666666668,1.9194635741175337,0.9942732318400926,2.0,306086,2765391,,2.025642998617762,0.7757978394629823,8.482182699973112,1.9575262566587144
新北市,板橋區,金門街,-0.0950902923154938,,2,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),36.0,-0.5326655826460264,-0.8193256863726953,0.0,293380,2764364,,0.0295619488076669,-0.0057030260161249,-0.4384519028208025,1.4422267715296049
新北市,新店區,文化路,-0.2551057480977057,,13,15,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),12.25,0.8123284089152422,1.2182696910742103,1.0,304895,2763604,,0.7520663424038949,0.4464754223506074,0.631255597418487,3.222352265611983
新北市,新店區,安德街,-0.8446009567829097,,3,13,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.083333333333333,-0.5970138641730925,-0.8193256863726953,0.0,301724,2761757,,-0.8004411407817348,-0.908353588982168,0.4946063359108733,2.332289518570794
台北市,中山區,龍江路,1.576900582318433,,7,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),37.75,5.134004959331245,-0.8193256863726953,0.0,304556,2771794,,6.32474216442899,-0.4851828146616034,-0.4384519028208025,2.8007435959608937
桃園市,龜山區,文化七路,2.302810288903883,,3,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),14.75,-0.0701623091702378,-0.8193256863726953,0.0,286697,2771590,,0.2485198190674481,-0.0142346948532332,0.6803639257727858,1.2314224367040598
新北市,樹林區,大義路,-0.7100130095945067,,11,19,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),13.0,0.1682710554166594,0.5833555893830216,1.0,288210,2759821,,-0.031542573125295,-0.0859007130849417,-0.4384519028208025,1.7701446257026745
新北市,土城區,員林街,0.4275195133294738,,13,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),10.666666666666666,1.0702960732514275,0.3238286573048713,1.0,294710,2763389,,0.7704542772448324,0.1069150026337027,1.446880877042057,2.26202140696228
台中市,大里區,德芳南路,-0.6267367172716827,,16,19,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),11.25,0.3009893860662337,0.4026136188285955,1.0,218184,2666510,,-0.0906668559215408,-0.0483613702016657,0.5906878479084142,1.4656494753991098
新北市,新莊區,福德二街,-0.0987433937391791,,11,11,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),9.583333333333334,-0.2344802423554247,0.0967425917364897,1.0,296628,2772250,,-0.6179762488985842,-0.672879529077983,0.4583088758229135,2.472825741787824
桃園市,中壢區,文智路,0.0734330444139846,,9,13,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),2.75,-0.2884868357799267,0.9232122861520278,1.0,270814,2765975,,-0.6312721402451082,-0.2189947469438289,-0.1971805504714216,1.7701446257026745
新北市,三重區,集賢路,1.88354479985001,,3,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.916666666666667,2.576735306858282,2.1018971026736266,2.0,299303,2775866,,2.165108412103644,1.5078150256868623,1.0454736713634414,2.1917532953537644
台北市,南港區,園區街,-0.0181828939221209,,8,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),11.166666666666666,0.2383647192229285,0.7625527567703156,1.0,311777,2772477,,-0.1274427256034161,0.0181856467277779,1.1778526434489425,4.487178274565252
台北市,中山區,錦州街,-0.1562316740382253,,6,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),42.083333333333336,-0.2028806398198122,-0.8193256863726953,0.0,304548,2772609,,-0.0872721602585983,1.7159877453123014,-0.4384519028208025,3.128661450133964
新北市,淡水區,八勢路,9.033914031225876,,4,6,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),5.166666666666667,4.7777912580207005,3.70231318382222,2.0,296647,2782805,,3.910830656771741,2.0487228299595195,-0.4384519028208025,2.285444110831784
台北市,松山區,新東街,-0.2377294827732027,,3,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),44.41666666666666,-0.947482183204436,-0.8193256863726953,0.0,307400,2772340,,-0.6142986619303966,-0.1933997404325043,-0.4384519028208025,3.667383639132578
高雄市,楠梓區,常興街,0.2560640820362478,,3,15,住家用,其他,住宅大樓(11層含以上有電梯),7.916666666666667,0.9019563724707989,0.0164128270456338,1.0,182002,2514857,,0.458990950169873,0.6717114796502629,0.607769005596866,1.2314224367040598
桃園市,大園區,大興路,-0.2346291532754699,,6,13,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),4.333333333333333,-0.5648397234095597,0.8042624422828756,1.0,269499,2772640,,-0.8182632930121821,-0.0398297013645574,-0.4384519028208025,1.32511325218208
新北市,板橋區,南雅東路,-1.25982880742113,,6,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),14.583333333333334,-1.0267684586574282,-0.8193256863726953,0.0,295911,2766431,,-1.1560355114749448,-1.2410886736293862,0.0974694196543705,2.5196711495268342
新北市,三重區,仁化街,-1.1044037619805227,,19,20,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),25.166666666666668,-0.5073859006175363,0.3639935396502993,1.0,299702,2772566,,-0.4717214440868184,0.0096539778906696,-0.2249374317151558,2.707052780482874
台北市,信義區,和平東路三段,-0.026306237877421,,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),42.5,-0.8032730879964568,-0.8193256863726953,0.0,305922,2768388,,-0.4459783353095057,0.2075886949115789,-0.4384519028208025,3.222352265611983
新北市,鶯歌區,育英街,0.8107106258244545,,7,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),23.666666666666668,0.2389392574508483,0.0859289695665669,1.0,285092,2760470,花台4.18㎡ ,0.5783710809833452,0.2400090364925899,0.4540385864008007,1.32511325218208
新北市,中和區,景平路,0.7880710104224053,,4,4,住家用,加強磚造,公寓(5樓含以下無電梯),48.333333333333336,-0.4441866955463102,-0.8193256863726953,0.0,300963,2765174,,0.2530460799513711,-0.4817701471267602,-0.4384519028208025,2.1917532953537644
台北市,松山區,三民路,0.2552950080523137,,2,7,集合住宅,鋼筋混凝土造,華廈(10層含以下有電梯),30.0,-0.1770264195634013,-0.8193256863726953,0.0,306993,2772025,,-0.199862899746186,-0.5329601601494092,-0.4384519028208025,3.362888488829013
新北市,新莊區,中華路一段,0.173028125333403,,4,4,住家用,加強磚造,公寓(5樓含以下無電梯),45.41666666666666,-0.4476339249138317,-0.8193256863726953,0.0,295644,2770077,,0.208066362417385,-0.2428834196877318,-0.4384519028208025,1.6530311063551495
台中市,北區,育強街,0.4188433974482212,,7,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),39.0,0.8255427881574079,-0.8193256863726953,0.0,218854,2672799,,1.1373643001478502,-0.5227221575448794,0.2042266552071939,0.9831417756873072
新北市,蘆洲區,長安街,0.6928500377866104,,2,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),26.916666666666668,-0.0477553182813487,-0.8193256863726953,0.0,296188,2775012,,0.5908182984141338,0.4618324262574021,-0.2911269177579064,1.7232992179636646
台北市,內湖區,文德路,0.7719444903217951,,2,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),38.41666666666666,-0.0109848716944536,-0.8193256863726953,0.0,308662,2774358,,-0.1642185952852913,1.396903330804456,-0.4384519028208025,2.847589003699904
桃園市,桃園區,同安街,-0.2041065295381001,,5,10,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),27.0,-0.3022757532500125,-0.8193256863726953,0.0,279939,2768651,,0.0765219054783692,-0.0671310416433036,-0.1651533798055749,1.0674635096175251
台北市,南港區,中坡北路,0.9276579385063776,,2,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),48.41666666666666,-0.7038779745662562,-0.8193256863726953,0.0,308572,2771026,,-0.2943485956980812,0.2690167105387576,-0.4384519028208025,2.988125226916934
台北市,中山區,八德路二段,-0.1994680520724997,,12,20,住家用,鋼骨造,住宅大樓(11層含以上有電梯),9.333333333333334,1.5075196646987263,0.4257856663355733,1.0,304139,2770954,,0.878801647153742,0.0693756597504267,2.866752109894608,4.206105828131193
新北市,三峽區,學府路,-0.0539929012990352,,6,15,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),12.916666666666666,0.7514273567556974,-0.1859563878486381,1.0,287784,2760092,,0.3418739497983623,-0.3077241028497537,1.8333420697432776,1.7467219218331695
高雄市,楠梓區,加宏路,-0.5316599460078751,,7,15,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),15.833333333333334,-0.1057836793012922,0.115280229742072,1.0,177731,2513203,,-0.3930776612286541,0.0437806532391025,0.1081451432096525,1.0206181018785152
新北市,板橋區,仁化街,-0.5139952779393974,,2,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),44.66666666666666,-1.0020633148568578,-0.8193256863726953,0.0,297872,2769359,,-0.6066605966887763,-0.7718468875884376,-0.4384519028208025,2.1917532953537644
高雄市,三民區,十全三路,-1.1562681887720536,,22,22,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),0.4166666666666667,-0.791207785210132,-0.8193256863726953,0.0,177081,2505340,,-1.230153033449186,0.040367985704259,-0.0925584596296547,1.395381363790595
台中市,北屯區,松竹路一段,-0.2134075180312985,,14,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),4.0,0.2889240832799087,0.580265983048758,1.0,221146,2675178,,-0.1444162039181276,0.7638535030910308,0.1359020244533868,1.395381363790595
新北市,蘆洲區,正和街,-0.2882720636548477,,2,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),30.08333333333333,-0.4930224449195303,0.8768681911380726,1.0,297183,2774751,,-0.1172586386145891,-0.6097451796833826,-0.4384519028208025,1.6530311063551495
台中市,西屯區,市政北六路,-0.3155020893985011,,8,24,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),12.833333333333334,2.64453081775287,1.5349543403362391,3.0,213171,2673439,,2.2655348254656875,1.9702314766581248,0.4903360464887598,1.8638354411806943
台北市,信義區,永吉路,-0.5040934503962506,,8,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),34.916666666666664,0.0843884741403052,1.2259937069098696,1.0,308165,2770843,,0.4241953196247139,0.0096539778906696,0.0248744994784506,3.643960935263073
台北市,內湖區,金龍路,-0.8434233122450111,,11,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),27.83333333333333,-1.5300639463155534,-0.8193256863726953,0.0,309072,2775643,,-1.5766948823745497,-1.218906334652905,-0.4384519028208025,3.550270119785053
台北市,內湖區,內湖路一段,0.0986442509498124,,5,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),38.833333333333336,-0.5832249467030073,-0.8193256863726953,0.0,307419,2775327,,-0.2318296172388929,-0.7035935368915722,1.7885040308110918,2.753898188221884
台中市,西屯區,青海路二段,-0.5998431613960001,,13,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),17.5,0.1021991592058326,0.4520473201768147,1.0,213375,2674467,,0.0168318400716331,0.1854063559350979,-0.0028823817652835,1.7232992179636646
桃園市,桃園區,樹仁三街,0.2602939889478834,,9,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),8.416666666666666,0.6882281516844718,1.9149759194506728,2.0,282613,2762996,,0.4782275589265461,0.3236193910962499,-0.4384519028208025,1.32511325218208
新北市,土城區,立德路,-0.3373005301306228,,7,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),28.33333333333333,-0.3735184935121215,0.6683197635752731,1.0,296688,2764532,,0.0151344922401623,0.2417153702600114,-0.3402352461122048,1.9575262566587144
桃園市,楊梅區,金山街,-0.2884402985888333,,5,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),9.083333333333334,-0.6849182130448886,1.040617326854048,1.0,266461,2756004,,-0.956031358666592,-0.270184759966478,-0.1373964985618407,0.9971953980090102
新北市,新莊區,福樂街,0.6717005032284333,,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),33.833333333333336,-0.3419188909765087,-0.8193256863726953,0.0,296327,2771081,,0.1602577318309471,-0.2667720924316345,-0.4384519028208025,1.4890721792686148
台北市,南港區,研究院路二段,0.45866700967879,,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),38.5,-0.4217797046574211,-0.8193256863726953,0.0,311939,2771107,,0.1987309493442936,0.0625503246807403,-0.4384519028208025,2.098062479875745
新北市,新莊區,福營路,1.3586758393772376,農,4,4,集合住宅,鋼筋混凝土造,公寓(5樓含以下無電梯),4.666666666666667,-0.0644169268910355,0.8722337816366769,1.0,292643,2768837,,-0.3441374654212353,-0.0142346948532332,0.5928229926194707,1.9106808489197045
台北市,信義區,虎林街,-0.511399653243621,住,3,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),48.833333333333336,-1.1813192419679712,-0.8193256863726953,0.0,308289,2769954,,-0.9336829455522216,-0.5636741679629984,-0.4384519028208025,3.175506857872974
桃園市,桃園區,春日路,-0.8687306530288303,,8,24,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),22.0,-0.6251662373411844,-0.8193256863726953,0.0,281445,2766958,,-0.6454167055073681,-0.162685732618915,-0.4384519028208025,1.13773162122604
新北市,新莊區,新北大道七段,-0.9893551006964364,,4,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),17.166666666666668,-0.2172440955178179,0.0395848745526114,1.0,291607,2768892,,-0.4728530093077989,1.3081739748985313,-0.4384519028208025,1.7935673295721797
新北市,鶯歌區,國華路,-1.3173411212821742,,10,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),27.416666666666668,-1.5335111756830748,-0.8193256863726953,0.0,284680,2760960,,-1.654207100011733,-1.0073209474926226,-0.4384519028208025,1.4188040676601
新北市,汐止區,工建路,-0.7369786661561832,,5,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),12.833333333333334,-0.6803219072215267,-0.8193256863726953,0.0,314548,2773012,,-1.0629642720492756,0.0062413103558264,-0.1267207750065586,2.26202140696228
